subject,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S13,S14,S15,S16,S17,total
DT_AUC,0.6281030819874842,0.6896383440878753,0.6772527918674667,0.5774747474747475,0.6200400654332879,0.7937064746847355,0.748514897256316,0.7873841124064909,0.6255272209500301,0.6930530181803696,0.7077370771293028,0.6653277248802913,0.6162271286591412,0.7134799243198864,0.6507448842007666,0.6796140995678794
RF_AUC,0.6210424259122427,0.7378308268315805,0.6976031857343218,0.6421697012138189,0.6732927881297446,0.7727018633540372,0.7653863986479412,0.7728460297162343,0.6325378903643393,0.715582514470319,0.7666232814159226,0.6606860068405406,0.6663800996657245,0.7796809799434647,0.6752557083439436,0.705307980038945
AB_AUC,0.7122753304407113,0.692580142882483,0.6751472650771388,0.6296416900093371,0.7086611456176675,0.7440277777777777,0.7490540949754841,0.8601928445950185,0.6080482980287847,0.5888973800625983,0.8186804927278808,0.47081074098689824,0.7310568066981384,0.7369215723845279,0.6117158984806044,0.6891807653830034
KN_AUC,0.7007982741739975,0.7195513599437529,0.678850839405667,0.6346451914098973,0.7289780016090759,0.7291768848514373,0.7644493800571335,0.7578942604709868,0.7878329153926467,0.7259573836557301,0.8335592006212946,0.6723509623294252,0.679625631818106,0.7027400074695724,0.6730185664009193,0.7192952573073096
LDA_AUC,0.6510859274329621,0.7558075215321244,0.6965773948663149,0.6609103641456584,0.7299180469289165,0.7820833333333334,0.7648175017874843,0.7401603770625509,0.7826120342206786,0.7994780004448091,0.8268981368529487,0.6803144195247776,0.6957153139284082,0.8292838874680306,0.7364585985909515,0.7421413905413298
SVM_AUC,0.6869922969187675,0.7189713873031158,0.6902269084351834,0.651467086834734,0.7494687005236877,0.7563328157349898,0.7755604911682447,0.7567512077294686,0.7953504532732624,0.7050219126570566,0.7997780610146423,0.6789372395932203,0.7082759907214221,0.8202539597074527,0.7129196375519905,0.7337538766111492
GB_AUC,0.6770991592351284,0.6882350021082725,0.6662595639988236,0.6577934810287751,0.7418409247757075,0.740315287511579,0.7685442098620184,0.7802716053483316,0.6690214405796127,0.6578337652353965,0.7640102770795727,0.618064651636633,0.6738689787179027,0.7897582850378168,0.6485267183796596,0.702762890035682
DT_F1,0.45690131324039795,0.46004891684136967,0.504442925495557,0.28952963061387194,0.4445986450688146,0.6806010928961749,0.5988177867151012,0.6738151945048496,0.3325098814229248,0.5084827453248506,0.5465277777777777,0.49775480809963574,0.4293686845276722,0.5674732369495641,0.43477588503996956,0.4950432349679021
RF_F1,0.4015827922077922,0.5135807588637777,0.4953671928620453,0.3434959349593496,0.506569258197039,0.6044366899302094,0.6141067538126361,0.6005411255411255,0.356621261900765,0.5138339920948616,0.6135835095137421,0.4764890282131661,0.47388438133874244,0.6412393162393162,0.4347274289284598,0.5060039616402018
AB_F1,0.5652597402597404,0.43954644169729373,0.45278679653679654,0.34463414634146344,0.5328250202972219,0.5556699556699557,0.6113418885839329,0.7836476586476586,0.31077433023510115,0.33414315569487985,0.723422006102212,0.235741946840345,0.5888888888888889,0.6038033735332464,0.405974047859791,0.49923062647923516
