subject,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S13,S14,S15,S16,S17,total
DT_AUC,0.6205866173636786,0.61734998787728,0.5604469984743595,0.5928673287496816,0.662114887456959,0.6948028420854507,0.682209513803027,0.6095916139841971,0.5617636114498749,0.6210985407225438,0.6972882124029127,0.6596897185629371,0.5834684712572467,0.5863930410881129,0.6813986666927843,0.6287380034647364
RF_AUC,0.6779075583288456,0.6078773832699855,0.6426344086021506,0.6411998132586368,0.5630527138391588,0.7106538992408559,0.633202464815064,0.7485457516339868,0.5869231175578592,0.7365742921882712,0.834434498437056,0.6516903826307852,0.607978475166764,0.6746323529411765,0.6854309905780493,0.6668492068325764
AB_AUC,0.6455562086980843,0.5528668837695055,0.6677740620250955,0.6616673032849504,0.5948274164738359,0.7314855072463768,0.6890389870669854,0.6245696875588179,0.4969487069102382,0.5978379491630454,0.7912124243766918,0.5993638437284643,0.5256754280622945,0.6820845510577053,0.6753120245767305,0.6357480655999214
KN_AUC,0.7001510420597932,0.6167392222470728,0.6475829358342092,0.6245894873100756,0.6462719310385552,0.7035655467720685,0.6107687843183872,0.7728462419223289,0.7440561069649975,0.7110826957447884,0.7936194231495479,0.6672234353626008,0.6485449654341728,0.6717884456652607,0.6498717785482491,0.6805801361581405
LDA_AUC,0.710042300786334,0.6426661000187,0.6278956053645098,0.6834806043629573,0.5722400936659249,0.7338200326243804,0.6598383018695309,0.6219902440554614,0.7334453768238844,0.7845952793100901,0.8343196087311736,0.7334759912535248,0.619756149705819,0.6787959200193455,0.7009989601901366,0.6891573712521183
SVM_AUC,0.7121153808020972,0.6533431220973873,0.6704838709677419,0.6283018207282913,0.6654069236390208,0.6927915804002761,0.6853008480279983,0.7360240835464621,0.7452381699846022,0.8018102621483376,0.8270465908283604,0.7554848717251232,0.6546476606029961,0.705447770140665,0.6822929929547576,0.7077157299062745
GB_AUC,0.710953325901795,0.6402265299280872,0.6756621919455019,0.5992309651133181,0.6164701315308732,0.7210584886128364,0.6559194234520658,0.7197527291549032,0.630591894217229,0.6315110795480694,0.7955910279348201,0.7500178034215359,0.5896917928649046,0.688887556834328,0.6999742496066025,0.675035946004458
DT_F1,0.44745174418756034,0.37789502164502164,0.32777777777777783,0.3134920634920635,0.48430735930735935,0.54375,0.5507278387541136,0.3733872416891285,0.2466346153846154,0.39435483870967747,0.5329606625258799,0.4674562332461859,0.37583874458874456,0.3889607387414405,0.49885862913096696,0.42159023394536904
RF_F1,0.5043959519291588,0.3228947368421053,0.39717563989408644,0.33918918918918917,0.30130661165143924,0.541869918699187,0.4330017683465959,0.569684410066106,0.313592257671205,0.5527129120879121,0.6944444444444444,0.36931818181818177,0.3954545454545454,0.40274841437632136,0.44691331923890065,0.43898015344729197
AB_F1,0.39898989898989895,0.3025890895977445,0.4980295566502463,0.3751219512195122,0.3532828282828283,0.5704905217901114,0.4966873706004141,0.4119007803790412,0.24345238095238098,0.34655648439297493,0.6283185235816815,0.37659846547314574,0.29589496617360395,0.5019363166953528,0.5171486114198343,0.42113318307991804
