subject,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S13,S14,S15,S16,S17,total
DT_AUC,0.6876898145904676,0.6154840241861894,0.704631292466791,0.64368801133507,0.7844050770216975,0.7453230374874147,0.6651822188401075,0.7850045162992733,0.689524891491004,0.6399741200828157,0.7725704452694584,0.6188331446525686,0.6451512593360381,0.6784517756087305,0.6301890414853886,0.6870735113435343
RF_AUC,0.6798460192361402,0.7719419912896791,0.6761460629132439,0.609775641025641,0.7000436584707534,0.7451445713642307,0.7374422391606731,0.7829522388665611,0.6075026405109525,0.7142265041721564,0.8054545807293225,0.6825616301737646,0.6942836026719085,0.7869348696416366,0.6817252266598128,0.7117320984590986
AB_AUC,0.7070793556567809,0.762622277366391,0.6775255459827689,0.6308232208967504,0.7209486934974814,0.7898125616120115,0.765820261986497,0.8334541847041848,0.6345164763483178,0.6030031683292553,0.8124119853146756,0.48777657254703505,0.7278168619343743,0.7745540066968639,0.6634007725430597,0.7061043963610966
KN_AUC,0.732885341025462,0.7038711206457662,0.6811564910405983,0.6412584555966909,0.7548978686717736,0.7378872503090511,0.7407004410727778,0.7834861032687119,0.8072952906712498,0.7176624160863292,0.842127919652942,0.683447929573754,0.7133823638829767,0.782322094211192,0.6199278736317222,0.7294872639560666
LDA_AUC,0.688771981542504,0.7816622960475267,0.7273084344217251,0.6336569884364003,0.7270203911928278,0.7583075683103431,0.791183283984947,0.7698680908463517,0.7709832792952998,0.7983614091222787,0.8284343061463277,0.6803144195247776,0.6828833682971363,0.8727678571428572,0.7623503446147962,0.75159160126174
SVM_AUC,0.6951298701298702,0.7315182609222322,0.6706331396513724,0.622960372960373,0.7300397148643254,0.7192939521994195,0.7788558930055347,0.7761559696342305,0.8037495149068039,0.7101520641194554,0.7972259586015155,0.637676465321137,0.6983975482234747,0.8051948051948052,0.6902553275299482,0.7244825904842999
GB_AUC,0.7244806305324029,0.6988058224985868,0.6938678056173627,0.5827977169888934,0.7415330866750423,0.7439564217811818,0.7388269375269649,0.7847306135893092,0.6398911279825602,0.6963967312880357,0.8008680147320892,0.6893763610865192,0.6705380503679295,0.8198745591602734,0.5981666381091444,0.7082740345290864
DT_F1,0.5478238866396762,0.393470314576872,0.5554317304317304,0.35527045220559117,0.6752422451956097,0.6078947368421053,0.4895238095238095,0.6654040404040404,0.4713926558849132,0.42971014492753623,0.6516460420007588,0.37579401088929215,0.475,0.5047805642633229,0.4228174603174603,0.5080801396068478
RF_F1,0.4889721181856014,0.590007215007215,0.4570175438596491,0.28433179723502305,0.5398745519713262,0.5845295055821371,0.5763263263263263,0.6105952380952381,0.3192563937244789,0.5145678426409324,0.6593291788856305,0.5194234433585346,0.5129553630237625,0.6478569390957067,0.4517773892773893,0.5171213897512634
AB_F1,0.5516098484848485,0.5852233138238573,0.4684210526315789,0.3284600389863548,0.5636716224951519,0.6319407720782655,0.6273504273504273,0.7184676185619583,0.3964641670621737,0.3489779874213837,0.6987706985614592,0.24838709677419352,0.5618686868686869,0.6237640355287414,0.4559381329210832,0.5206210333033442
KN_F1,0.597610248829761,0.46581126729868144,0.5085654008438818,0.31616393556692063,0.6286374985813188,0.6095783707724006,0.5872938125093298,0.6589309407973716,0.7035320977706151,0.5369708994708995,0.7826702833031947,0.5311459101781683,0.5630683979277329,0.6626891508149532,0.3864823348694317,0.5692767033023106
LDA_F1,0.5386064911407662,0.5986330742428303,0.5505974674514,0.3107517482517482,0.5727682227682228,0.5912215758857747,0.6469328543796629,0.6482599368861468,0.6164514586322334,0.6504043126684635,0.6797578828828829,0.50997150997151,0.5278745644599303,0.7815829528158296,0.5771615980918307,0.5867317100352821
SVM_F1,0.5160356884494816,0.5143839899937461,0.4692982456140351,0.29053480475382004,0.569047619047619,0.560377358490566,0.6280880773361976,0.6155906264945002,0.6581632653061225,0.5158119658119658,0.6418997668997669,0.469074029418857,0.5219141323792487,0.6667763157894737,0.4622577519379845,0.5399502425148923
GB_F1,0.575514705882353,0.4484470122920625,0.5288952139995784,0.28583333333333333,0.593959638903459,0.5750794491525424,0.5854700854700855,0.6740839517625232,0.37092391304347827,0.4858097374077188,0.6821267979332495,0.4955872011251758,0.5156028368794326,0.6832589996814273,0.38990284851914736,0.5260330483590377
DT_ACC,0.618421052631579,0.45569620253164556,0.5882352941176471,0.38666666666666666,0.75,0.6447368421052632,0.5609756097560976,0.7209302325581395,0.5,0.5,0.7073170731707317,0.5287356321839081,0.524390243902439,0.5487804878048781,0.48148148148148145,0.5677577879273651
RF_ACC,0.631578947368421,0.7468354430379747,0.6235294117647059,0.41333333333333333,0.6785714285714286,0.6710526315789473,0.6951219512195121,0.7906976744186046,0.4186046511627907,0.6410256410256411,0.8170731707317073,0.632183908045977,0.6585365853658537,0.8048780487804879,0.6296296296296297,0.656843497069001
AB_ACC,0.6447368421052632,0.7341772151898734,0.6235294117647059,0.4533333333333333,0.7023809523809523,0.75,0.7560975609756098,0.813953488372093,0.45348837209302323,0.44871794871794873,0.7195121951219512,0.22988505747126436,0.7073170731707317,0.7804878048780488,0.49382716049382713,0.6207629610712418
